Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SDDG;SP0308;Hospital Samaritano;São Paulo;SP; 23 32 19S; 046 39 45W;-23.5386;-46.6625;VFR;PRIV;2018-07-19Z
SWNI;SP0819;Hospital e Maternidade Santa Marina;São Paulo;SP;23 39 25S;046 39 10W;-23.6569;-46.6528;VFR;PRIV;2018-07-19Z
SIRO;SP0545;Maksoud Plaza;São Paulo;SP;23 33 47S;046 39 04W;-23.5631;-46.6511;VFR;PRIV;2018-07-19Z
SJPB;SP0645;Guarapiranga Golf;São Paulo;SP; 23 47 15S; 046 46 54W;-23.7875;-46.7817;VFR;PRIV;2022-05-12Z
SIPZ;SP0541;Papaiz;Diadema;SP;23 40 35S;046 37 05W;-23.6764;-46.6181;VFR DIURNA;PRIV;2018-07-19Z
SIGV;SP0497;Rede Record;São Paulo;SP; 23 31 25S; 046 39 45W;-23.5236;-46.6625;VFR;PRIV;2024-03-21Z
SDJP;SP0365;Igreja Mundial do Poder de Deus - IMPD;São Paulo;SP; 23 33 03S; 046 37 15W;-23.5508;-46.6208;VFR;PRIV;2018-12-06Z
SDTU;SP0428;Itaúsa;São Paulo;SP; 23 38 11S; 046 38 31W;-23.6364;-46.6419;VFR;PRIV;2021-04-01Z
SNID;SP0707;ICESP - Instituto do Câncer do Estado de São Paulo;São Paulo;SP; 23 33 22S; 046 40 06W;-23.5561;-46.6683;VFR;PRIV;2022-10-13Z
SSUF;SP0884;Rede D'Or São Luiz Anália Franco;São Paulo;SP; 23 32 56S; 046 33 30W;-23.5489;-46.5583;VFR;PRIV;2019-09-26Z
SNQC;SP0722;IGESP;São Paulo;SP; 23 33 40S; 046 39 03W;-23.5611;-46.6508;VFR DIURNA;PRIV;2021-03-11Z
SJTV;SP0663;Tivoli Center;São Paulo;SP;23 37 43S;046 44 12W;-23.6286;-46.7367;VFR;PRIV;2018-07-19Z
SDKM;SP0373;Hotel Emiliano;São Paulo;SP;23 33 58S;046 39 55W;-23.5661;-46.6653;VFR;PRIV;2018-07-19Z
SDCV;SP0306;Citibank;São Paulo;SP; 23 33 54S; 046 39 13W;-23.565;-46.6536;VFR;PRIV;2022-01-27Z
SDBR;SP0299;REC Berrini;São Paulo;SP; 23 36 30.95S; 046 41 40.43W;-23.6083;-46.6944;VFR;PRIV;2024-09-19Z
SDPM;SP0404;Palácio dos Bandeirantes;São Paulo;SP;23 36 02S;046 42 47W;-23.6006;-46.7131;VFR;PRIV;2018-07-19Z
SWQV;SP0826;Volkswagen;São Bernardo do Campo;SP;23 43 46S;046 32 59W;-23.7294;-46.5497;VFR;PRIV;2022-12-22Z
